,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000036,0.000041,0.000035,0.000034,0.000034,0.000036,0.000035,0.000036,0.000030,0.000030
All,deaths_total_rel,0.000000,0.142512,-0.022990,-0.046615,-0.051823,-0.008510,-0.017782,-0.015750,-0.162454,-0.181760
Elder_Ratio,deaths_gini_abs,0.316631,0.316714,0.240835,0.312300,0.315505,0.287148,0.297229,0.315713,0.275483,0.301637
Elder_Ratio,deaths_gini_rel,0.000000,0.000262,-0.239381,-0.013678,-0.003554,-0.093114,-0.061275,-0.002898,-0.129954,-0.047355
Mean_Household_Income,deaths_gini_abs,0.076118,0.074212,0.076345,0.020429,0.080888,0.109002,0.069598,0.052169,0.058181,0.078421
Mean_Household_Income,deaths_gini_rel,0.000000,-0.025037,0.002984,-0.731610,0.062657,0.432009,-0.085657,-0.314625,-0.235647,0.030256
EW_Ratio,deaths_gini_abs,0.132269,0.130472,0.118543,0.119863,0.054970,0.113087,0.128472,0.106312,0.090284,0.112378
EW_Ratio,deaths_gini_rel,0.000000,-0.013584,-0.103774,-0.093793,-0.584408,-0.145021,-0.028703,-0.196245,-0.317418,-0.150380
Minority_Ratio,deaths_gini_abs,0.122713,0.109108,0.095624,0.157530,0.121318,0.060921,0.160451,0.132743,0.108918,0.130214
Minority_Ratio,deaths_gini_rel,0.000000,-0.110871,-0.220748,0.283726,-0.011368,-0.503549,0.307534,0.081733,-0.112416,0.061126
