,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000044,0.000048,0.000040,0.000044,0.000042,0.000044,0.000045,0.000045,0.000039,0.000036
All,deaths_total_rel,0.000000,0.087945,-0.096790,-0.021228,-0.061663,-0.010024,0.002274,0.007918,-0.133687,-0.195855
Elder_Ratio,deaths_gini_abs,0.341998,0.341207,0.247624,0.330803,0.349737,0.320601,0.343966,0.351000,0.285257,0.289117
Elder_Ratio,deaths_gini_rel,0.000000,-0.002311,-0.275948,-0.032733,0.022628,-0.062565,0.005756,0.026322,-0.165911,-0.154623
Mean_Household_Income,deaths_gini_abs,0.119648,0.125455,0.107347,0.060734,0.110944,0.119141,0.144653,0.117991,0.092473,0.100120
Mean_Household_Income,deaths_gini_rel,0.000000,0.048539,-0.102807,-0.492396,-0.072750,-0.004234,0.208987,-0.013851,-0.227120,-0.163212
EW_Ratio,deaths_gini_abs,0.136308,0.120723,0.118617,0.124293,0.067658,0.141737,0.131406,0.139484,0.100405,0.109990
EW_Ratio,deaths_gini_rel,0.000000,-0.114339,-0.129786,-0.088149,-0.503641,0.039831,-0.035963,0.023301,-0.263396,-0.193074
Minority_Ratio,deaths_gini_abs,0.197391,0.205993,0.171249,0.210246,0.214691,0.147685,0.249335,0.210718,0.185428,0.174317
Minority_Ratio,deaths_gini_rel,0.000000,0.043576,-0.132439,0.065122,0.087641,-0.251817,0.263148,0.067514,-0.060608,-0.116898
