,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000166,0.000157,0.000147,0.000152,0.000153,0.000156,0.000152,0.000157,0.000136,0.000134
All,deaths_total_rel,0.000000,-0.051053,-0.110295,-0.083419,-0.074501,-0.059273,-0.084056,-0.051386,-0.177698,-0.190226
Elder_Ratio,deaths_gini_abs,0.313645,0.319124,0.262191,0.309201,0.312269,0.300153,0.310866,0.308565,0.254481,0.273310
Elder_Ratio,deaths_gini_rel,0.000000,0.017468,-0.164053,-0.014169,-0.004387,-0.043019,-0.008862,-0.016198,-0.188633,-0.128603
Mean_Household_Income,deaths_gini_abs,0.065102,0.063903,0.070860,0.028355,0.055017,0.077310,0.058697,0.072088,0.034821,0.058336
Mean_Household_Income,deaths_gini_rel,0.000000,-0.018406,0.088449,-0.564448,-0.154910,0.187526,-0.098375,0.107308,-0.465129,-0.103923
EW_Ratio,deaths_gini_abs,0.038579,0.037858,0.049455,0.033151,0.024576,0.034088,0.043410,0.044154,0.010824,0.046490
EW_Ratio,deaths_gini_rel,0.000000,-0.018682,0.281908,-0.140691,-0.362971,-0.116413,0.125222,0.144511,-0.719444,0.205063
Minority_Ratio,deaths_gini_abs,0.112455,0.117784,0.082550,0.101905,0.107496,0.074120,0.122115,0.113305,0.071051,0.091357
Minority_Ratio,deaths_gini_rel,0.000000,0.047388,-0.265932,-0.093818,-0.044093,-0.340893,0.085899,0.007561,-0.368180,-0.187610
