,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000305,0.000271,0.000255,0.000261,0.000266,0.000271,0.000262,0.000263,0.000211,0.000215
All,deaths_total_rel,0.000000,-0.112003,-0.165427,-0.144875,-0.130866,-0.112541,-0.142745,-0.138107,-0.310895,-0.295346
Elder_Ratio,deaths_gini_abs,0.228453,0.229965,0.136024,0.221250,0.216695,0.236884,0.236182,0.231906,0.130720,0.135356
Elder_Ratio,deaths_gini_rel,0.000000,0.006616,-0.404589,-0.031530,-0.051471,0.036902,0.033831,0.015114,-0.427805,-0.407514
Mean_Household_Income,deaths_gini_abs,0.203322,0.199918,0.184641,0.122785,0.168610,0.164197,0.123405,0.135495,0.054112,0.194748
Mean_Household_Income,deaths_gini_rel,0.000000,-0.016740,-0.091880,-0.396104,-0.170723,-0.192428,-0.393057,-0.333594,-0.733862,-0.042171
EW_Ratio,deaths_gini_abs,0.143136,0.143607,0.098758,0.074831,0.068650,0.128459,0.090710,0.098473,0.023297,0.201713
EW_Ratio,deaths_gini_rel,0.000000,0.003289,-0.310040,-0.477202,-0.520390,-0.102539,-0.366268,-0.312032,-0.837241,0.409236
Minority_Ratio,deaths_gini_abs,0.203770,0.203947,0.213837,0.141631,0.172366,0.145664,0.130644,0.141423,0.074088,0.271142
Minority_Ratio,deaths_gini_rel,0.000000,0.000871,0.049403,-0.304946,-0.154113,-0.285153,-0.358865,-0.305965,-0.636413,0.330631
