,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000107,0.000101,0.000095,0.000096,0.000100,0.000101,0.000097,0.000098,0.000088,0.000091
All,deaths_total_rel,0.000000,-0.050568,-0.106433,-0.102278,-0.059469,-0.052833,-0.089774,-0.080539,-0.179214,-0.145226
Elder_Ratio,deaths_gini_abs,0.230873,0.237500,0.162399,0.249802,0.232258,0.215297,0.241993,0.238599,0.174925,0.181669
Elder_Ratio,deaths_gini_rel,0.000000,0.028704,-0.296590,0.081986,0.005996,-0.067465,0.048161,0.033462,-0.242333,-0.213123
Mean_Household_Income,deaths_gini_abs,0.120154,0.113953,0.133528,0.053208,0.117416,0.138487,0.056824,0.071204,0.091248,0.124394
Mean_Household_Income,deaths_gini_rel,0.000000,-0.051610,0.111303,-0.557170,-0.022787,0.152575,-0.527073,-0.407392,-0.240573,0.035285
EW_Ratio,deaths_gini_abs,0.065892,0.063828,0.061316,0.040721,0.026977,0.068535,0.045494,0.044331,0.025699,0.103651
EW_Ratio,deaths_gini_rel,0.000000,-0.031332,-0.069451,-0.382014,-0.590584,0.040106,-0.309576,-0.327219,-0.609986,0.573027
Minority_Ratio,deaths_gini_abs,0.059840,0.058569,0.042389,0.075445,0.043677,0.025899,0.082739,0.072253,0.030463,0.063246
Minority_Ratio,deaths_gini_rel,0.000000,-0.021248,-0.291635,0.260763,-0.270115,-0.567201,0.382665,0.207425,-0.490925,0.056915
