,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000104,0.000107,0.000099,0.000103,0.000103,0.000102
All,deaths_total_rel,0.000000,0.029434,-0.046766,-0.005331,-0.008271,-0.015426
Elder_Ratio,deaths_gini_abs,0.230126,0.230873,0.187237,0.235242,0.231381,0.220193
Elder_Ratio,deaths_gini_rel,0.000000,0.003248,-0.186370,0.022231,0.005454,-0.043163
Mean_Household_Income,deaths_gini_abs,0.123706,0.120154,0.141450,0.096686,0.120596,0.134852
Mean_Household_Income,deaths_gini_rel,0.000000,-0.028708,0.143439,-0.218420,-0.025135,0.090104
EW_Ratio,deaths_gini_abs,0.068761,0.065892,0.067839,0.055278,0.038735,0.074702
EW_Ratio,deaths_gini_rel,0.000000,-0.041712,-0.013397,-0.196086,-0.436667,0.086402
Minority_Ratio,deaths_gini_abs,0.058223,0.059840,0.046519,0.049060,0.050539,0.024684
Minority_Ratio,deaths_gini_rel,0.000000,0.027786,-0.201012,-0.157375,-0.131969,-0.576049
