,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000040,0.000041,0.000040,0.000039,0.000039,0.000040,0.000041,0.000039,0.000037,0.000037
All,deaths_total_rel,0.000000,0.021886,-0.004937,-0.031595,-0.027152,-0.013658,0.010202,-0.033076,-0.089189,-0.086720
Elder_Ratio,deaths_gini_abs,0.294969,0.289647,0.272596,0.293574,0.299996,0.296446,0.291609,0.301823,0.280425,0.279883
Elder_Ratio,deaths_gini_rel,0.000000,-0.018044,-0.075849,-0.004730,0.017039,0.005006,-0.011393,0.023235,-0.049307,-0.051147
Mean_Household_Income,deaths_gini_abs,0.272360,0.266604,0.268232,0.236854,0.262135,0.262615,0.271555,0.264008,0.240894,0.260363
Mean_Household_Income,deaths_gini_rel,0.000000,-0.021133,-0.015155,-0.130363,-0.037542,-0.035779,-0.002954,-0.030665,-0.115532,-0.044048
EW_Ratio,deaths_gini_abs,0.084051,0.086242,0.094814,0.079393,0.059136,0.090795,0.097749,0.083655,0.051955,0.066245
EW_Ratio,deaths_gini_rel,0.000000,0.026065,0.128046,-0.055417,-0.296435,0.080235,0.162963,-0.004714,-0.381870,-0.211856
Minority_Ratio,deaths_gini_abs,0.207313,0.202691,0.209594,0.193468,0.205397,0.189035,0.205808,0.196615,0.182261,0.204190
Minority_Ratio,deaths_gini_rel,0.000000,-0.022292,0.011003,-0.066783,-0.009244,-0.088166,-0.007259,-0.051601,-0.120841,-0.015063
