,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000172,0.000228,0.000166,0.000158,0.000163,0.000160,0.000148,0.000155,0.000116,0.000105
All,deaths_total_rel,0.000000,0.323896,-0.036679,-0.083265,-0.052772,-0.072485,-0.141992,-0.101874,-0.328362,-0.389836
Elder_Ratio,deaths_gini_abs,0.307416,0.298448,0.166952,0.313765,0.275992,0.318363,0.316912,0.328301,0.243447,0.311885
Elder_Ratio,deaths_gini_rel,0.000000,-0.029170,-0.456917,0.020653,-0.102217,0.035611,0.030889,0.067937,-0.208084,0.014538
Mean_Household_Income,deaths_gini_abs,0.123205,0.126062,0.138553,0.011503,0.085622,0.065884,0.070693,0.070257,0.043743,0.082482
Mean_Household_Income,deaths_gini_rel,0.000000,0.023192,0.124575,-0.906636,-0.305046,-0.465250,-0.426220,-0.429752,-0.644961,-0.330533
EW_Ratio,deaths_gini_abs,0.137292,0.124095,0.098191,0.096809,0.006172,0.115126,0.114501,0.120686,0.100695,0.140304
EW_Ratio,deaths_gini_rel,0.000000,-0.096129,-0.284806,-0.294872,-0.955048,-0.161454,-0.166008,-0.120958,-0.266563,0.021936
Minority_Ratio,deaths_gini_abs,0.115963,0.132576,0.160884,0.042619,0.099241,0.054064,0.044736,0.052357,0.040077,0.068185
Minority_Ratio,deaths_gini_rel,0.000000,0.143267,0.387379,-0.632473,-0.144200,-0.533779,-0.614223,-0.548505,-0.654395,-0.412007
