,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000166,0.000160,0.000156,0.000158,0.000158,0.000160,0.000156,0.000162,0.000151,0.000149
All,deaths_total_rel,0.000000,-0.036067,-0.057180,-0.048960,-0.043590,-0.032882,-0.058667,-0.023873,-0.089941,-0.097343
Elder_Ratio,deaths_gini_abs,0.313645,0.316611,0.282850,0.310819,0.314984,0.304170,0.313635,0.317547,0.287353,0.296442
Elder_Ratio,deaths_gini_rel,0.000000,0.009457,-0.098185,-0.009010,0.004269,-0.030211,-0.000033,0.012439,-0.083829,-0.054850
Mean_Household_Income,deaths_gini_abs,0.065102,0.067818,0.071260,0.043845,0.063172,0.073914,0.049507,0.065738,0.046491,0.062004
Mean_Household_Income,deaths_gini_rel,0.000000,0.041727,0.094601,-0.326521,-0.029637,0.135357,-0.239538,0.009769,-0.285868,-0.047584
EW_Ratio,deaths_gini_abs,0.038579,0.036893,0.039030,0.035393,0.017898,0.032018,0.037008,0.039030,0.019383,0.036301
EW_Ratio,deaths_gini_rel,0.000000,-0.043710,0.011704,-0.082572,-0.536070,-0.170059,-0.040719,0.011706,-0.497585,-0.059032
Minority_Ratio,deaths_gini_abs,0.112455,0.115522,0.094052,0.106416,0.112203,0.091603,0.109776,0.115976,0.085124,0.100983
Minority_Ratio,deaths_gini_rel,0.000000,0.027271,-0.163649,-0.053701,-0.002242,-0.185420,-0.023819,0.031309,-0.243035,-0.102013
