,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000091,0.000082,0.000075,0.000082,0.000080,0.000080,0.000082,0.000083,0.000081,0.000066
All,deaths_total_rel,0.000000,-0.093150,-0.177062,-0.097438,-0.119181,-0.113924,-0.094018,-0.087587,-0.108514,-0.273122
Elder_Ratio,deaths_gini_abs,0.228021,0.243037,0.130966,0.230527,0.253736,0.195841,0.228347,0.226310,0.188983,0.114769
Elder_Ratio,deaths_gini_rel,0.000000,0.065857,-0.425638,0.010991,0.112777,-0.141126,0.001432,-0.007501,-0.171203,-0.496675
Mean_Household_Income,deaths_gini_abs,0.030010,0.031668,0.021822,0.007993,0.048997,0.043970,0.068565,0.038929,0.011851,0.019744
Mean_Household_Income,deaths_gini_rel,0.000000,0.055238,-0.272860,-0.733668,0.632670,0.465190,1.284750,0.297200,-0.605090,-0.342076
EW_Ratio,deaths_gini_abs,0.093401,0.093648,0.103080,0.095290,0.038577,0.085046,0.114179,0.099966,0.063319,0.096742
EW_Ratio,deaths_gini_rel,0.000000,0.002649,0.103633,0.020229,-0.586971,-0.089448,0.222456,0.070290,-0.322069,0.035773
Minority_Ratio,deaths_gini_abs,0.077111,0.082021,0.043589,0.091785,0.089485,0.032381,0.130667,0.075824,0.043951,0.037962
Minority_Ratio,deaths_gini_rel,0.000000,0.063674,-0.434729,0.190293,0.160472,-0.580068,0.694533,-0.016697,-0.430030,-0.507699
