,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000485,0.000498,0.000481,0.000459,0.000478,0.000483,0.000468,0.000476,0.000461,0.000464
All,deaths_total_rel,0.000000,0.026814,-0.008547,-0.053669,-0.014775,-0.004309,-0.036188,-0.018502,-0.049932,-0.044693
Elder_Ratio,deaths_gini_abs,0.126617,0.130730,0.106014,0.133330,0.132228,0.136618,0.139748,0.137539,0.113445,0.105526
Elder_Ratio,deaths_gini_rel,0.000000,0.032484,-0.162714,0.053024,0.044316,0.078988,0.103708,0.086265,-0.104031,-0.166574
Mean_Household_Income,deaths_gini_abs,0.469135,0.469877,0.470337,0.445771,0.461618,0.466047,0.450760,0.457900,0.452548,0.471280
Mean_Household_Income,deaths_gini_rel,0.000000,0.001581,0.002563,-0.049804,-0.016024,-0.006583,-0.039168,-0.023949,-0.035357,0.004572
EW_Ratio,deaths_gini_abs,0.317640,0.319482,0.315258,0.293201,0.300542,0.317756,0.300734,0.307401,0.299141,0.330654
EW_Ratio,deaths_gini_rel,0.000000,0.005797,-0.007499,-0.076940,-0.053828,0.000365,-0.053225,-0.032234,-0.058241,0.040969
Minority_Ratio,deaths_gini_abs,0.404468,0.401303,0.406034,0.374326,0.397718,0.391168,0.377637,0.385572,0.386005,0.416133
Minority_Ratio,deaths_gini_rel,0.000000,-0.007823,0.003873,-0.074523,-0.016688,-0.032881,-0.066336,-0.046719,-0.045648,0.028841
