,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000305,0.000275,0.000259,0.000264,0.000269,0.000274,0.000298,0.000270,0.000223,0.000225
All,deaths_total_rel,0.000000,-0.099091,-0.151106,-0.134330,-0.118976,-0.104083,-0.024436,-0.116587,-0.269898,-0.263894
Elder_Ratio,deaths_gini_abs,0.228453,0.228185,0.139551,0.220221,0.214070,0.238386,0.232650,0.234685,0.146738,0.143457
Elder_Ratio,deaths_gini_rel,0.000000,-0.001173,-0.389149,-0.036035,-0.062959,0.043476,0.018370,0.027278,-0.357690,-0.372052
Mean_Household_Income,deaths_gini_abs,0.203322,0.201344,0.186822,0.123852,0.172458,0.165524,0.190880,0.145396,0.077250,0.196340
Mean_Household_Income,deaths_gini_rel,0.000000,-0.009725,-0.081151,-0.390858,-0.151801,-0.185901,-0.061194,-0.284897,-0.620062,-0.034339
EW_Ratio,deaths_gini_abs,0.143136,0.145884,0.104230,0.078317,0.070555,0.125315,0.136477,0.105800,0.019104,0.196002
EW_Ratio,deaths_gini_rel,0.000000,0.019192,-0.271816,-0.452853,-0.507082,-0.124510,-0.046526,-0.260845,-0.866534,0.369336
Minority_Ratio,deaths_gini_abs,0.203770,0.204076,0.214587,0.144203,0.179393,0.145376,0.190500,0.148585,0.093420,0.263807
Minority_Ratio,deaths_gini_rel,0.000000,0.001501,0.053085,-0.292321,-0.119630,-0.286565,-0.065119,-0.270819,-0.541541,0.294633
