,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000039,0.000041,0.000039,0.000037,0.000038,0.000037,0.000041,0.000037,0.000032,0.000032
All,deaths_total_rel,0.000000,0.047748,-0.012654,-0.056690,-0.041168,-0.056690,0.033069,-0.062089,-0.185760,-0.178336
Elder_Ratio,deaths_gini_abs,0.288404,0.289647,0.265081,0.290402,0.311619,0.303667,0.288527,0.306178,0.250468,0.247297
Elder_Ratio,deaths_gini_rel,0.000000,0.004309,-0.080871,0.006926,0.080494,0.052920,0.000425,0.061628,-0.131537,-0.142533
Mean_Household_Income,deaths_gini_abs,0.272228,0.266604,0.271144,0.229330,0.251980,0.257876,0.265824,0.261369,0.199946,0.244461
Mean_Household_Income,deaths_gini_rel,0.000000,-0.020659,-0.003981,-0.157582,-0.074379,-0.052720,-0.023525,-0.039888,-0.265520,-0.102000
EW_Ratio,deaths_gini_abs,0.088387,0.086242,0.100138,0.083115,0.042560,0.087525,0.089639,0.076704,0.033926,0.066271
EW_Ratio,deaths_gini_rel,0.000000,-0.024265,0.132949,-0.059647,-0.518475,-0.009753,0.014171,-0.132174,-0.616165,-0.250219
Minority_Ratio,deaths_gini_abs,0.201247,0.202691,0.214185,0.177744,0.192191,0.163836,0.209864,0.169787,0.137534,0.207495
Minority_Ratio,deaths_gini_rel,0.000000,0.007176,0.064285,-0.116790,-0.045000,-0.185897,0.042818,-0.156328,-0.316594,0.031045
