,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000414,0.000498,0.000442,0.000384,0.000406,0.000371,0.000352,0.000350,0.000335,0.000328
All,deaths_total_rel,0.000000,0.204701,0.067483,-0.072263,-0.019000,-0.104213,-0.149773,-0.152960,-0.189690,-0.207660
Elder_Ratio,deaths_gini_abs,0.133808,0.130730,0.052677,0.147228,0.133472,0.144764,0.140024,0.141568,0.123094,0.134042
Elder_Ratio,deaths_gini_rel,0.000000,-0.023009,-0.606328,0.100287,-0.002512,0.081871,0.046448,0.057989,-0.080072,0.001742
Mean_Household_Income,deaths_gini_abs,0.454073,0.469877,0.463715,0.382315,0.416159,0.411597,0.394437,0.395626,0.408865,0.429657
Mean_Household_Income,deaths_gini_rel,0.000000,0.034806,0.021236,-0.158030,-0.083496,-0.093543,-0.131335,-0.128716,-0.099560,-0.053771
EW_Ratio,deaths_gini_abs,0.307709,0.319482,0.307432,0.252283,0.224860,0.266012,0.260165,0.261387,0.273351,0.294650
EW_Ratio,deaths_gini_rel,0.000000,0.038260,-0.000899,-0.180123,-0.269245,-0.135507,-0.154508,-0.150536,-0.111658,-0.042438
Minority_Ratio,deaths_gini_abs,0.395455,0.401303,0.417141,0.330487,0.347291,0.331131,0.342338,0.344318,0.360534,0.373946
Minority_Ratio,deaths_gini_rel,0.000000,0.014790,0.054838,-0.164287,-0.121794,-0.162659,-0.134318,-0.129313,-0.088307,-0.054390
