,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000047,0.000048,0.000044,0.000046,0.000045,0.000045
All,deaths_total_rel,0.000000,0.038016,-0.056583,-0.022344,-0.028774,-0.024835
Elder_Ratio,deaths_gini_abs,0.343806,0.341207,0.304356,0.335391,0.348958,0.328892
Elder_Ratio,deaths_gini_rel,0.000000,-0.007558,-0.114745,-0.024475,0.014986,-0.043380
Mean_Household_Income,deaths_gini_abs,0.117482,0.125455,0.122650,0.089616,0.119119,0.127180
Mean_Household_Income,deaths_gini_rel,0.000000,0.067866,0.043987,-0.237196,0.013933,0.082546
EW_Ratio,deaths_gini_abs,0.135198,0.120723,0.137862,0.124700,0.093384,0.129371
EW_Ratio,deaths_gini_rel,0.000000,-0.107067,0.019702,-0.077649,-0.309283,-0.043102
Minority_Ratio,deaths_gini_abs,0.204306,0.205993,0.184868,0.204497,0.205349,0.169631
Minority_Ratio,deaths_gini_rel,0.000000,0.008256,-0.095141,0.000936,0.005107,-0.169721
