,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000086,0.000091,0.000081,0.000085,0.000085,0.000085,0.000085,0.000086,0.000077,0.000078
All,deaths_total_rel,0.000000,0.054751,-0.054805,-0.007752,-0.016581,-0.009583,-0.013836,0.002746,-0.102288,-0.099489
Elder_Ratio,deaths_gini_abs,0.230558,0.228021,0.167995,0.229122,0.240402,0.217992,0.230121,0.221159,0.176227,0.182698
Elder_Ratio,deaths_gini_rel,0.000000,-0.011007,-0.271357,-0.006232,0.042694,-0.054504,-0.001897,-0.040770,-0.235650,-0.207584
Mean_Household_Income,deaths_gini_abs,0.024500,0.030010,0.026683,0.010479,0.037356,0.040958,0.052657,0.034932,0.015004,0.029852
Mean_Household_Income,deaths_gini_rel,0.000000,0.224883,0.089071,-0.572275,0.524720,0.671749,1.149216,0.425768,-0.387618,0.218435
EW_Ratio,deaths_gini_abs,0.088999,0.093401,0.100388,0.092518,0.053982,0.089728,0.096898,0.093563,0.075372,0.093780
EW_Ratio,deaths_gini_rel,0.000000,0.049461,0.127965,0.039545,-0.393451,0.008190,0.088754,0.051279,-0.153116,0.053717
Minority_Ratio,deaths_gini_abs,0.070396,0.077111,0.061815,0.089651,0.085009,0.047779,0.116068,0.073143,0.048713,0.039879
Minority_Ratio,deaths_gini_rel,0.000000,0.095385,-0.121900,0.273517,0.207573,-0.321287,0.648783,0.039013,-0.308021,-0.433509
