,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000087,0.000091,0.000085,0.000088,0.000087,0.000088,0.000090,0.000089,0.000086,0.000080
All,deaths_total_rel,0.000000,0.039143,-0.031823,0.009017,-0.006046,0.003395,0.024610,0.021269,-0.015275,-0.088681
Elder_Ratio,deaths_gini_abs,0.222588,0.228021,0.186741,0.221748,0.247583,0.222474,0.233745,0.228449,0.209698,0.180824
Elder_Ratio,deaths_gini_rel,0.000000,0.024407,-0.161047,-0.003774,0.112294,-0.000512,0.050122,0.026333,-0.057911,-0.187627
Mean_Household_Income,deaths_gini_abs,0.030350,0.030010,0.027183,0.014981,0.039327,0.038939,0.029021,0.034582,0.009233,0.026186
Mean_Household_Income,deaths_gini_rel,0.000000,-0.011212,-0.104370,-0.506394,0.295770,0.282986,-0.043787,0.139430,-0.695785,-0.137224
EW_Ratio,deaths_gini_abs,0.090396,0.093401,0.097811,0.093710,0.063751,0.091822,0.097601,0.100866,0.075566,0.095903
EW_Ratio,deaths_gini_rel,0.000000,0.033237,0.082018,0.036655,-0.294759,0.015775,0.079705,0.115817,-0.164060,0.060914
Minority_Ratio,deaths_gini_abs,0.069167,0.077111,0.059571,0.083524,0.077561,0.056197,0.083931,0.076279,0.064943,0.044683
Minority_Ratio,deaths_gini_rel,0.000000,0.114850,-0.138745,0.207565,0.121350,-0.187516,0.213447,0.102819,-0.061074,-0.353992
