,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000161,0.000166,0.000159,0.000158,0.000160,0.000160
All,deaths_total_rel,0.000000,0.028580,-0.015476,-0.019251,-0.007114,-0.005616
Elder_Ratio,deaths_gini_abs,0.315965,0.313645,0.290785,0.307175,0.309678,0.299935
Elder_Ratio,deaths_gini_rel,0.000000,-0.007343,-0.079695,-0.027822,-0.019900,-0.050733
Mean_Household_Income,deaths_gini_abs,0.066441,0.065102,0.072004,0.047295,0.062147,0.070984
Mean_Household_Income,deaths_gini_rel,0.000000,-0.020153,0.083737,-0.288163,-0.064620,0.068377
EW_Ratio,deaths_gini_abs,0.039960,0.038579,0.036955,0.036844,0.027328,0.037006
EW_Ratio,deaths_gini_rel,0.000000,-0.034558,-0.075199,-0.077967,-0.316124,-0.073908
Minority_Ratio,deaths_gini_abs,0.115818,0.112455,0.097178,0.109552,0.108450,0.087141
Minority_Ratio,deaths_gini_rel,0.000000,-0.029041,-0.160945,-0.054104,-0.063624,-0.247609
