,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000041,0.000041,0.000039,0.000041,0.000039,0.000041,0.000042,0.000041,0.000036,0.000036
All,deaths_total_rel,0.000000,0.009880,-0.045133,0.004042,-0.043112,0.003256,0.019760,-0.007185,-0.124733,-0.116538
Elder_Ratio,deaths_gini_abs,0.313564,0.316714,0.294196,0.310162,0.333317,0.308886,0.315059,0.324219,0.265722,0.276950
Elder_Ratio,deaths_gini_rel,0.000000,0.010044,-0.061768,-0.010850,0.062995,-0.014919,0.004768,0.033982,-0.152574,-0.116768
Mean_Household_Income,deaths_gini_abs,0.088113,0.074212,0.072144,0.058911,0.080479,0.073578,0.074850,0.079138,0.061812,0.107593
Mean_Household_Income,deaths_gini_rel,0.000000,-0.157755,-0.181229,-0.331416,-0.086633,-0.164958,-0.150522,-0.101849,-0.298484,0.221083
EW_Ratio,deaths_gini_abs,0.119136,0.130472,0.126280,0.130510,0.101263,0.127255,0.129480,0.127766,0.088401,0.123575
EW_Ratio,deaths_gini_rel,0.000000,0.095152,0.059965,0.095472,-0.150026,0.068143,0.086827,0.072435,-0.257986,0.037255
Minority_Ratio,deaths_gini_abs,0.107445,0.109108,0.095385,0.126064,0.105157,0.094018,0.104762,0.109301,0.088775,0.070539
Minority_Ratio,deaths_gini_rel,0.000000,0.015473,-0.112248,0.173283,-0.021295,-0.124969,-0.024969,0.017271,-0.173760,-0.343492
