,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000100,0.000107,0.000093,0.000094,0.000099,0.000100,0.000105,0.000098,0.000086,0.000087
All,deaths_total_rel,0.000000,0.065616,-0.070967,-0.061587,-0.010849,-0.003462,0.046773,-0.026251,-0.145165,-0.132449
Elder_Ratio,deaths_gini_abs,0.235713,0.230873,0.153508,0.253928,0.234616,0.217650,0.236906,0.243736,0.162957,0.170334
Elder_Ratio,deaths_gini_rel,0.000000,-0.020531,-0.348749,0.077278,-0.004652,-0.076631,0.005061,0.034039,-0.308662,-0.277367
Mean_Household_Income,deaths_gini_abs,0.114585,0.120154,0.124951,0.041367,0.115723,0.130594,0.099324,0.059229,0.089103,0.134913
Mean_Household_Income,deaths_gini_rel,0.000000,0.048606,0.090473,-0.638983,0.009935,0.139716,-0.133180,-0.483096,-0.222382,0.177408
EW_Ratio,deaths_gini_abs,0.065573,0.065892,0.062677,0.043389,0.022661,0.070102,0.055334,0.050737,0.028578,0.097947
EW_Ratio,deaths_gini_rel,0.000000,0.004875,-0.044167,-0.338302,-0.654421,0.069075,-0.156139,-0.226255,-0.564172,0.493718
Minority_Ratio,deaths_gini_abs,0.056419,0.059840,0.050416,0.089355,0.043313,0.018726,0.057780,0.076380,0.028352,0.073852
Minority_Ratio,deaths_gini_rel,0.000000,0.060650,-0.106402,0.583790,-0.232297,-0.668094,0.024133,0.353799,-0.497471,0.308993
