,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000048,0.000046,0.000043,0.000046,0.000045,0.000046,0.000047,0.000047,0.000041,0.000039
All,deaths_total_rel,0.000000,-0.040108,-0.102052,-0.045141,-0.067131,-0.058537,-0.031514,-0.023771,-0.155401,-0.190476
Elder_Ratio,deaths_gini_abs,0.341207,0.347558,0.287542,0.338703,0.355592,0.327165,0.350668,0.345366,0.291384,0.289035
Elder_Ratio,deaths_gini_rel,0.000000,0.018612,-0.157280,-0.007341,0.042159,-0.041154,0.027727,0.012187,-0.146019,-0.152904
Mean_Household_Income,deaths_gini_abs,0.125455,0.133857,0.121212,0.093993,0.124330,0.119082,0.142638,0.116880,0.084620,0.098405
Mean_Household_Income,deaths_gini_rel,0.000000,0.066973,-0.033827,-0.250787,-0.008969,-0.050802,0.136959,-0.068354,-0.325499,-0.215617
EW_Ratio,deaths_gini_abs,0.120723,0.142944,0.133191,0.126437,0.093764,0.134417,0.131624,0.126396,0.093483,0.105749
EW_Ratio,deaths_gini_rel,0.000000,0.184071,0.103281,0.047331,-0.223313,0.113436,0.090302,0.046998,-0.225640,-0.124030
Minority_Ratio,deaths_gini_abs,0.205993,0.198378,0.173105,0.203339,0.212654,0.177670,0.226934,0.212102,0.189815,0.163331
Minority_Ratio,deaths_gini_rel,0.000000,-0.036968,-0.159655,-0.012882,0.032335,-0.137497,0.101657,0.029655,-0.078538,-0.207105
