,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000048,0.000045,0.000042,0.000045,0.000044,0.000045,0.000048,0.000046,0.000040,0.000038
All,deaths_total_rel,0.000000,-0.062253,-0.135424,-0.063802,-0.087573,-0.062485,-0.000387,-0.047929,-0.165389,-0.217344
Elder_Ratio,deaths_gini_abs,0.341207,0.343249,0.280981,0.340214,0.357634,0.324917,0.347391,0.347740,0.286524,0.286803
Elder_Ratio,deaths_gini_rel,0.000000,0.005985,-0.176509,-0.002913,0.048144,-0.047743,0.018123,0.019145,-0.160264,-0.159446
Mean_Household_Income,deaths_gini_abs,0.125455,0.118759,0.115060,0.082131,0.126515,0.119716,0.124083,0.118089,0.086482,0.105263
Mean_Household_Income,deaths_gini_rel,0.000000,-0.053373,-0.082863,-0.345336,0.008444,-0.045751,-0.010943,-0.058714,-0.310656,-0.160954
EW_Ratio,deaths_gini_abs,0.120723,0.127680,0.125664,0.131391,0.082466,0.136745,0.131621,0.131440,0.101322,0.106970
EW_Ratio,deaths_gini_rel,0.000000,0.057628,0.040934,0.088370,-0.316895,0.132716,0.090277,0.088777,-0.160702,-0.113919
Minority_Ratio,deaths_gini_abs,0.205993,0.204267,0.173761,0.213287,0.210191,0.166982,0.217169,0.208605,0.182865,0.162758
Minority_Ratio,deaths_gini_rel,0.000000,-0.008377,-0.156471,0.035409,0.020378,-0.189377,0.054253,0.012679,-0.112277,-0.209885
